"timestamp","instrument_id","open","high","low","close","volume"
"2024-01-02T20:45:00.000000Z",15144,470.995,471.25,470.905,471.23,286479
"2024-01-02T20:40:00.000000Z",15144,470.75,471.03,470.71,470.99,257686
"2024-01-02T20:35:00.000000Z",15144,470.92,470.93,470.68,470.76,217425
"2024-01-02T20:30:00.000000Z",15144,470.9,471.17,470.84,470.915,243915
"2024-01-02T20:25:00.000000Z",15144,470.88,470.975,470.71,470.91,130072
"2024-01-02T20:20:00.000000Z",15144,470.96,471.02,470.68,470.88,197734
"2024-01-02T20:15:00.000000Z",15144,470.64,471.07,470.53,470.96,191668
"2024-01-02T20:10:00.000000Z",15144,470.67,470.83,470.57,470.64,152575
"2024-01-02T20:05:00.000000Z",15144,470.62,470.89,470.49,470.67,213121
"2024-01-02T20:00:00.000000Z",15144,470.93,470.97,470.545,470.61,278765
"2024-01-02T19:55:00.000000Z",15144,471.14,471.185,470.92,470.93,129169
"2024-01-02T19:50:00.000000Z",15144,471.38,471.505,471.03,471.14,186492
"2024-01-02T19:45:00.000000Z",15144,471.55,471.66,471.355,471.385,104018
"2024-01-02T19:40:00.000000Z",15144,471.53,471.625,471.46,471.55,118967
"2024-01-02T19:35:00.000000Z",15144,471.72,471.77,471.52,471.53,67557
"2024-01-02T19:30:00.000000Z",15144,471.86,472.06,471.68,471.73,159243
"2024-01-02T19:25:00.000000Z",15144,471.64,471.94,471.63,471.88,163672
"2024-01-02T19:20:00.000000Z",15144,471.76,471.86,471.61,471.645,92770
"2024-01-02T19:15:00.000000Z",15144,471.91,471.91,471.7,471.76,116363
"2024-01-02T19:10:00.000000Z",15144,471.75,472.08,471.69,471.91,179417
"2024-01-02T19:05:00.000000Z",15144,471.88,471.96,471.55,471.76,203112
"2024-01-02T19:00:00.000000Z",15144,472.13,472.25,471.85,471.88,172353
"2024-01-02T18:55:00.000000Z",15144,472.37,472.43,472.0,472.13,133183
"2024-01-02T18:50:00.000000Z",15144,472.68,472.68,472.33,472.36,104639
"2024-01-02T18:45:00.000000Z",15144,472.74,472.95,472.61,472.68,109175
"2024-01-02T18:40:00.000000Z",15144,472.86,472.94,472.68,472.74,115528
"2024-01-02T18:35:00.000000Z",15144,472.77,472.91,472.72,472.87,136172
"2024-01-02T18:30:00.000000Z",15144,472.66,472.83,472.46,472.8,128128
"2024-01-02T18:25:00.000000Z",15144,472.74,472.97,472.66,472.67,106314
"2024-01-02T18:20:00.000000Z",15144,472.7,472.83,472.53,472.77,79220
"2024-01-02T18:15:00.000000Z",15144,472.615,472.78,472.49,472.69,128047
"2024-01-02T18:10:00.000000Z",15144,472.37,472.67,472.28,472.62,122205
"2024-01-02T18:05:00.000000Z",15144,472.51,472.635,472.31,472.38,93817
"2024-01-02T18:00:00.000000Z",15144,472.64,472.65,472.415,472.51,102770
"2024-01-02T17:55:00.000000Z",15144,472.86,472.9,472.59,472.64,118558
"2024-01-02T17:50:00.000000Z",15144,473.05,473.07,472.74,472.85,109182
"2024-01-02T17:45:00.000000Z",15144,473.49,473.5,472.88,473.06,94039
"2024-01-02T17:40:00.000000Z",15144,473.5,473.67,473.44,473.5,93600
"2024-01-02T17:35:00.000000Z",15144,473.22,473.52,473.19,473.49,132362
"2024-01-02T17:30:00.000000Z",15144,472.975,473.215,472.94,473.2,90207
"2024-01-02T17:25:00.000000Z",15144,473.01,473.17,472.92,472.975,80493
"2024-01-02T17:20:00.000000Z",15144,473.03,473.225,472.91,473.02,143244
"2024-01-02T17:15:00.000000Z",15144,473.23,473.23,472.77,473.02,201050
"2024-01-02T17:10:00.000000Z",15144,473.165,473.36,473.14,473.26,87833
"2024-01-02T17:05:00.000000Z",15144,473.21,473.29,473.11,473.17,65323
"2024-01-02T17:00:00.000000Z",15144,473.19,473.355,473.14,473.23,67521
"2024-01-02T16:55:00.000000Z",15144,473.03,473.28,473.0,473.18,98283
"2024-01-02T16:50:00.000000Z",15144,473.09,473.145,472.87,473.025,119497
"2024-01-02T16:45:00.000000Z",15144,472.66,473.16,472.61,473.1,203263
"2024-01-02T16:40:00.000000Z",15144,472.42,472.67,472.37,472.67,92334
"2024-01-02T16:35:00.000000Z",15144,472.6,472.63,472.4,472.43,71684
"2024-01-02T16:30:00.000000Z",15144,472.31,472.63,472.28,472.6,126371
"2024-01-02T16:25:00.000000Z",15144,472.09,472.35,472.02,472.33,96004
"2024-01-02T16:20:00.000000Z",15144,472.2,472.32,471.98,472.07,90231
"2024-01-02T16:15:00.000000Z",15144,472.16,472.38,472.07,472.22,129889
"2024-01-02T16:10:00.000000Z",15144,472.18,472.45,471.97,472.16,135400
"2024-01-02T16:05:00.000000Z",15144,472.1,472.205,471.78,472.19,112355
"2024-01-02T16:00:00.000000Z",15144,471.67,472.15,471.63,472.12,156560
"2024-01-02T15:55:00.000000Z",15144,471.68,471.78,471.48,471.69,104757
"2024-01-02T15:50:00.000000Z",15144,471.67,471.88,471.6,471.7,106420
"2024-01-02T15:45:00.000000Z",15144,471.86,472.07,471.62,471.67,93612
"2024-01-02T15:40:00.000000Z",15144,471.5,471.96,471.47,471.865,149226
"2024-01-02T15:35:00.000000Z",15144,471.51,471.55,471.3,471.52,141457
"2024-01-02T15:30:00.000000Z",15144,471.77,471.77,471.4,471.51,152885
"2024-01-02T15:25:00.000000Z",15144,472.225,472.33,471.6,471.76,187236
"2024-01-02T15:20:00.000000Z",15144,472.06,472.43,472.02,472.225,136687
